question_id,year,question_number,question_text,current_topics,suggested_topic,confidence,reason,status
569,2015,26,国家公務員に対する制裁措置に関する次の記述のうち、正しいものはどれか。,"['行政行為', '行政裁量']",不利益処分,100,国家公務員への制裁は行政手続法上の不利益処分に該当する。,auto_reclassify
570,2015,27,"制限行為能力者に関する次の記述のうち、民法の規定に照らし、正しいものの組合せはどれか。
ア．家庭裁判所が後見開始の審判をするときには、成年被後見人に成年後見人を",['意思表示'],権利能力・意思能力・行為能力,100,成年後見制度全般を行為能力として問う問題,auto_reclassify
572,2015,29,甲土地を所有するAとその隣地の乙土地を所有するBとの間の相隣関係に関する記述のうち、民法の規定に照らし、正しいものはどれか。なお、次の各場合において、別段の慣習,['物権変動'],所有権,100,相隣関係は民法物権編の所有権の章に規定されるため。,auto_reclassify
573,2015,30,留置権に関する次の記述のうち、民法の規定および判例に照らし、妥当でないものはどれか。,['抵当権'],留置権,100,「留置権」が問題の主題であり、完全に一致する項目があるため。,auto_reclassify
574,2015,32,AがBに対して電器製品を売却する旨の売買契約（両債務に関する履行期日は同一であり、AがBのもとに電器製品を持参する旨が約されたものとする。以下、「本件売買契約」,['契約総論'],売買,100,問題文が「売買契約」と明示しており、最も具体的。,auto_reclassify
576,2015,34,A（3歳）は母親Bが目を離した隙に、急に道路へ飛び出し、Cの運転するスピード違反の自動車に轢（ひ）かれて死亡した。CがAに対して負うべき損害賠償額（以下、「本件,"['親族', '相続']",不法行為,100,交通事故による損害賠償額算定は不法行為の典型,auto_reclassify
577,2015,37,"株式会社の設立に関する次のア～オの記述のうち、会社法の規定に照らし、妥当なものの組合せはどれか。
ア．発起人は、設立時発行株式を引き受ける者の募集をする旨を定め",['株式'],株式会社の設立,100,会社法の「株式会社の設立」に関する直接的な問題であるため。,auto_reclassify
579,2015,39,種類株式発行会社ではない取締役会設置会社で、複数の監査役が選任されている監査役設置会社の監査役の選任および解任に関する次の記述のうち、会社法の規定に照らし、誤っ,['株式'],機関（監査役等）,100,会社法の監査役の選任・解任に関する問題,auto_reclassify
580,2015,40,次の事項のうち、会社法の規定に照らし、登記を必要とする事項はどれか。,"['株式', '持分会社']",株式会社の設立,100,会社法における登記制度の根幹であり、設立登記は会社の成立要件であるため。,auto_reclassify
582,2015,42,"次の文章の空欄［ ア ］～［ エ ］にあてはまる語句を、枠内の選択肢（1～20）から選びなさい。


［ ア ］は、［ イ ］ではないから、抗告訴訟はもちろん、",['行政行為'],行政指導,100,行政指導の法的性質と行政手続法による規律が中心,auto_reclassify
583,2015,43,"次の文章は、ある最高裁判所判決の一節である。空欄［ ア ］～［ エ ］にあてはまる語句を、枠内の選択肢（1～20）から選びなさい。



建築確認申請に係る建築","['行政行為', '取消訴訟']",行政指導,100,問題文は行政指導の適法性と限界を論じる判例であるため。,auto_reclassify
584,2015,44,Xは、Y県内で開発行為を行うことを計画し、Y県知事に都市計画法に基づく開発許可を申請した。しかし、知事は、この開発行為によりがけ崩れの危険があるなど、同法所定の,['行政行為'],取消訴訟,100,裁決取消訴訟の被告適格と原処分主義は取消訴訟の重要論点。,auto_reclassify
585,2015,45,権原の性質上、占有者に所有の意思のない他主占有が、自主占有に変わる場合として2つの場合がある。民法の規定によると、ひとつは、他主占有者が自己に占有させた者に対し,['意思表示'],占有権,100,他主占有から自主占有への転換は占有権の核心的知識,auto_reclassify
586,2015,46,AとBは婚姻し、3年後にBが懐胎したが、その頃から両者は不仲となり別居状態となり、その後にCが出生した。Bは、AにCの出生を知らせるとともに、Aとの婚姻関係を解,"['意思表示', '相続']",親族,100,嫡出推定・否認は親族法の核心論点。,auto_reclassify
588,2015,48,日本の選挙に関する次の記述のうち、誤っているものはどれか。,['政治'],参政権,100,「選挙」は憲法上の参政権の主要な内容であるため。,auto_reclassify
589,2015,49,日本の貧困ならびに生活困窮に関する次の記述のうち、妥当なものはどれか。,"['政治', '経済']",社会,98,貧困・生活困窮は社会情勢・福祉に関する問題,auto_reclassify
