question_id,year,question_number,format,correct_answer,choice_number,choice_text,is_correct
598,2025,1,5肢択一,5,1,,FALSE
598,2025,1,5肢択一,5,2,,FALSE
598,2025,1,5肢択一,5,3,,FALSE
598,2025,1,5肢択一,5,4,,FALSE
598,2025,1,5肢択一,5,5,,TRUE
612,2025,6,5肢択一,2,1,,FALSE
612,2025,6,5肢択一,2,2,,TRUE
612,2025,6,5肢択一,2,3,,FALSE
612,2025,6,5肢択一,2,4,,FALSE
612,2025,6,5肢択一,2,5,,FALSE
613,2025,7,5肢択一,2,1,,FALSE
613,2025,7,5肢択一,2,2,,TRUE
613,2025,7,5肢択一,2,3,,FALSE
613,2025,7,5肢択一,2,4,,FALSE
613,2025,7,5肢択一,2,5,,FALSE
614,2025,9,5肢択一,1,1,,TRUE
614,2025,9,5肢択一,1,2,,FALSE
614,2025,9,5肢択一,1,3,,FALSE
614,2025,9,5肢択一,1,4,,FALSE
614,2025,9,5肢択一,1,5,,FALSE
615,2025,10,5肢択一,1,1,,TRUE
615,2025,10,5肢択一,1,2,,FALSE
615,2025,10,5肢択一,1,3,,FALSE
615,2025,10,5肢択一,1,4,,FALSE
615,2025,10,5肢択一,1,5,,FALSE
616,2025,12,5肢択一,4,1,,FALSE
616,2025,12,5肢択一,4,2,,FALSE
616,2025,12,5肢択一,4,3,,FALSE
616,2025,12,5肢択一,4,4,,TRUE
616,2025,12,5肢択一,4,5,,FALSE
617,2025,13,5肢択一,3,1,,FALSE
617,2025,13,5肢択一,3,2,,FALSE
617,2025,13,5肢択一,3,3,,TRUE
617,2025,13,5肢択一,3,4,,FALSE
617,2025,13,5肢択一,3,5,,FALSE
618,2025,14,5肢択一,1,1,,TRUE
618,2025,14,5肢択一,1,2,,FALSE
618,2025,14,5肢択一,1,3,,FALSE
618,2025,14,5肢択一,1,4,,FALSE
618,2025,14,5肢択一,1,5,,FALSE
619,2025,15,5肢択一,3,1,,FALSE
619,2025,15,5肢択一,3,2,,FALSE
619,2025,15,5肢択一,3,3,,TRUE
619,2025,15,5肢択一,3,4,,FALSE
619,2025,15,5肢択一,3,5,,FALSE
620,2025,16,5肢択一,5,1,,FALSE
620,2025,16,5肢択一,5,2,,FALSE
620,2025,16,5肢択一,5,3,,FALSE
620,2025,16,5肢択一,5,4,,FALSE
620,2025,16,5肢択一,5,5,,TRUE
621,2025,17,5肢択一,1,1,,TRUE
621,2025,17,5肢択一,1,2,,FALSE
621,2025,17,5肢択一,1,3,,FALSE
621,2025,17,5肢択一,1,4,,FALSE
621,2025,17,5肢択一,1,5,,FALSE
622,2025,18,5肢択一,5,1,,FALSE
622,2025,18,5肢択一,5,2,,FALSE
622,2025,18,5肢択一,5,3,,FALSE
622,2025,18,5肢択一,5,4,,FALSE
622,2025,18,5肢択一,5,5,,TRUE
623,2025,19,5肢択一,3,1,,FALSE
623,2025,19,5肢択一,3,2,,FALSE
623,2025,19,5肢択一,3,3,,TRUE
623,2025,19,5肢択一,3,4,,FALSE
623,2025,19,5肢択一,3,5,,FALSE
624,2025,20,5肢択一,4,1,,FALSE
624,2025,20,5肢択一,4,2,,FALSE
624,2025,20,5肢択一,4,3,,FALSE
624,2025,20,5肢択一,4,4,,TRUE
624,2025,20,5肢択一,4,5,,FALSE
625,2025,21,5肢択一,4,1,,FALSE
625,2025,21,5肢択一,4,2,,FALSE
625,2025,21,5肢択一,4,3,,FALSE
625,2025,21,5肢択一,4,4,,TRUE
625,2025,21,5肢択一,4,5,,FALSE
626,2025,22,5肢択一,5,1,,FALSE
626,2025,22,5肢択一,5,2,,FALSE
626,2025,22,5肢択一,5,3,,FALSE
626,2025,22,5肢択一,5,4,,FALSE
626,2025,22,5肢択一,5,5,,TRUE
627,2025,23,5肢択一,2,1,,FALSE
627,2025,23,5肢択一,2,2,,TRUE
627,2025,23,5肢択一,2,3,,FALSE
627,2025,23,5肢択一,2,4,,FALSE
627,2025,23,5肢択一,2,5,,FALSE
628,2025,24,5肢択一,2,1,,FALSE
628,2025,24,5肢択一,2,2,,TRUE
628,2025,24,5肢択一,2,3,,FALSE
628,2025,24,5肢択一,2,4,,FALSE
628,2025,24,5肢択一,2,5,,FALSE
629,2025,25,5肢択一,3,1,,FALSE
629,2025,25,5肢択一,3,2,,FALSE
629,2025,25,5肢択一,3,3,,TRUE
629,2025,25,5肢択一,3,4,,FALSE
629,2025,25,5肢択一,3,5,,FALSE
630,2025,26,5肢択一,4,1,,FALSE
630,2025,26,5肢択一,4,2,,FALSE
630,2025,26,5肢択一,4,3,,FALSE
630,2025,26,5肢択一,4,4,,TRUE
630,2025,26,5肢択一,4,5,,FALSE
631,2025,27,5肢択一,3,1,,FALSE
631,2025,27,5肢択一,3,2,,FALSE
631,2025,27,5肢択一,3,3,,TRUE
